Category;Joke title;Joke; Rounded length of joke in tens of chars;;;
Animal;Shooting an Elephant;"How do you kill a blue elephant? 
 
With a blue elephant gun.   
 
How do you kill a pink elephant? 
 
Hold its trunk until it goes blue and the shoot it with a blue elephant gun.";18;;;
Animal;Dog & Elephant;Q: What do you get when you cross a dog with an elephant?A: A very nervous postman.;8;;;
Animal;Milk Doesn't Do a Blonde Good;"
Q: Did you hear about the blonde who died while drinking milk?

A: The cow fell on her.";9;;;
Animal;Rooster Plays B-ball;"Why did the rooster cross the basketball court?        

It heard that the referee was blowing fouls.";10;;;
Animal;Robins in My Yard;"I was walking home when I noticed a couple of robins laying down in the sun.  I let my talking cats out and the kitten said to her mom, ''I'm hungry!''   So the mother cat said, ''What would you like?''   The kitten replied, ''I don't know!''    

Then the mother cat looked at the robins and said, ''How about some basking robins?''";33;;;
Animal;Safe Elephant Sex;"How can you tell that elephants have been doing it in your garage?    

All your Hefty Bags are missing.";10;;;
Animal;Cow Riddle;A black cow was standing in the middle of the road. A man was hauling ass around a corner with no headlights on. He slams on the brakes at just the right time to miss the cow. How did the guy see the cow?  It was daytime.;22;;;
Animal;Rooster's Eggs;"Q: If a rooster's on top of a barn door and lays an egg, does the egg fall on the north or the south side? 

A: Roosters don't lay eggs.";14;;;
Animal;The Farmer's Ranch;"Q: Why did the farmer sell his frog leg ranch?      
 
A: He found out it was a rough toad to hoe.";10;;;
Animal;Ty Barnett: Killer Bees;I saw a report on CNN, and the report said the killer bees are coming -- the killer bees! But these were killer bees 'cause they were 'Africanized.' What are these -- hip hop bees?;18;;;
Animal;Why did the chicken cross the road?;To have hot sex with the perverted farmer.;4;;;
Animal;Cross the Road... Fat Turkey;"Q: Why did the fat turkey cross the road?

A: To get hit by my car.";7;;;
Animal;A Grasshopper Walks Into a Bar...;"A grasshopper walks into a bar, and the bartender says, ""Hey, we have a drink named after you!""    

The grasshopper looks surprised and asks, ""You have a drink named Steve?""";17;;;
Animal;Dinosaur Crossing;"Q: Why did the dinosaur cross the road?   

A: It was the chicken's day off.";8;;;
Animal;You Can't Put HimTogether Again;"What's green and red, and goes 100 mph?      

A frog in a blender!";7;;;
Animal;Andrew Norelli: Wrong Time to Worry;People worry about health at the wrong times, you ever notice that? 'Ooh, there's a hair in my food.' You're eating bacon -- there's a pig's ass in your food.;16;;;
Animal;Owen Benjamin: Pet Honesty;Dogs don't understand lies. If you say 'outside' you're going outside. If you don't go outside after saying 'outside,' you're the biggest dickhead on the planet. That's the only time you'll see the dog look like a Sarah McClachlan commercial.;24;;;
Animal;Dog Abilities;Q: Why do dogs lick their balls?A: Because they can.Q: So why do they stick their noses in women's crotches?A: Same reason.;12;;;
Animal;The Offspring;"A birch and a beech tree grow up side by side in the forest. One day, a sapling grows between them, and each swears that it's not their son. The beech thinks it's a son-of-a-birch, and the birch thinks it's a son-of-a-beech. To settle it, they enlist the help of a woodpecker, who checks it out. 

""You are both wrong,"" he says when he comes back up. ""That's the best piece of ash I've ever had my pecker in.""";41;;;
Animal;Turn On Your Energizer Bunny;"What happens when you put the batteries in BACKWARDS in the Energizer Bunny?        

He keeps coming and coming and coming...";13;;;
Animal;Let's Talk;"A guy was seated next to a 10-year-old girl on an airplane. Being bored, he turned to the girl and said, ""Let's talk. I've heard that flights go quicker if you strike up a conversation with your fellow passenger.""


 
The girl, who was reading a book, closed it slowly and said to the guy, ""What would you like to talk about?""



""Oh, I don't know,"" said the guy. ""How about nuclear power?""


 
""OK,"" she said. ""That could be an interesting topic. But let me ask you a question first. A horse, a cow and a deer all eat the same stuff... grass. Yet a deer excretes little pellets, while a cow turns out a flat patty, and a horse produces clumps of dried grass. Why do you suppose that is?""


 
The guy thought about it and said, ""Hmmm, I have no idea.""


 
To which the girl replied, ""Do you really feel qualified to discuss nuclear power when you don't know s**t?""";86;;;
Animal;Rodeo;"Q: What did the snail say when it caught a ride on the back of the turtle as it was crossing the road?      

A: ""Yahoo!""";12;;;
Animal;Maria Bamford: Political Aspirations;"Gonna run for neighborhood council. First cut of my ad is me standing and sleeping, and then, cut to me eating ice cream with my hands; cut to me face down in my dusty backyard surrounded by my elderly, overweight dogs. 'Maria Bamford for Eagle Rock Neighborhood Council: I can do it if it's, like, on a Tuesday.'";31;;;
Animal;NASA Chicken Canon;"NASA engineers build a cannon that launches dead chickens at the windshields of airplanes, military jets and such to test the strength of the windshields against collisions with airborne fowl.

British engineers are eager to test it on the windshields of their new high-speed trains. Arrangements are made, and a cannon is sent to the British engineers.

When the cannon goes off, the engineers stand shocked as the chicken crashes into the shatterproof shield, smashes it to smithereens, blasts through the control console, snaps the pilot's backrest in two, and embeds itself in the back wall of the cabin.

The horrified Brits send the Americans a report of the disastrous results, along with an urgent request for suggests on improving the windshield design.

The American engineers respond with a one-line memo: ""Thaw the chicken.""";84;;;
Animal;Panda Booty Call... WWF;You don't get to be the face of the World Wildlife Fund without knowing a few tricks, know what I'm saying?;11;;;
Animal;Huntin' License;"A man named Jed went hunting near the border of Alabama and Georgia. When he was going back to his truck, a game warden came up to him and asked him what he had in the sack.

""Three rabbits,"" Jed said.

The warden said, ""Let me see one of those rabbits.""
 
So Jed pulled out one of the rabbits. The warden stuck his finger in the rabbit's butthole, pulled it out, smelled it and said, ""This is a Georgia rabbit."" 

Then the warden said, ""Let me see your Georgia huntin' license.""
 
So Jed showed him. Then the warden said, ""Let me see another one of those rabbits.""

So Jed pulled out another rabbit.

Then the warden stuck his finger in the rabbit's bunghole, tasted it and said, ""This is a Alamba rabbit.  Let me see your Alamba huntin' license.""
 
So Jed showed them to him. Then the Warden said, ""Where you from boy?""

So Jed pulled his pants down and said, ""You figure it out!""";88;;;
Animal;Horse Fall;"Q: What did the horse say when he fell?

A: I've fallen and I can't giddy up!";8;;;
Animal;Full of Wool;"A man buys several sheep, hoping to breed them for wool. After several weeks, he notices that none of the sheep are getting pregnant, and calls a vet for help. The vet tells him that he should try artificial insemination.

The guy doesn't have the slightest idea what this means but not wanting to display his ignorance, only asks the vet how he will know when the sheep are pregnant. The vet tells him that they will stop standing around and will lie down and wallow in the grass.

The man hangs up and gives it some thought. He comes to the conclusion that artificial insemination means he has to impregnate the sheep. So, he loads the sheep into his truck, drives them out into the woods, has sex with them all, brings them back, and goes to bed.

The next morning, he wakes and looks out at the sheep. Seeing that they are all still standing around, he concludes that the first try didn't take, and loads them in the truck again. He drives them out to the woods, bangs each sheep twice for good measure, brings them back, and goes to bed. 

The next morning he wakes to find the sheep still just standing around. One more try, he tells himself, and proceeds to load them up and drive them out to the woods. He spends all day shagging the sheep and upon returning home, falls listlessly into bed. 

The next morning, he cannot even raise himself from the bed to look at the sheep. He asks his wife to look out and tell him if the sheep are lying in the grass. 

""No,"" she says, ""they're all in the truck and one of them is honking the horn.""";154;;;
Animal;Here, Piggy, Piggy;"An old farmer and his wife had a bunch of pigs, and every morning the farmer would head out to feed them. And every morning, he would see all the pigs screwing up a storm. He would get turned on by this and try to get back to the house in time to screw his wife -- but he always got soft before he got there. So one day, he took his hatchet and headed out to the pig pen.

""No!"" said his wife. ""Don't kill those pigs!""

""I'm not going to kill them. I'm moving the pen closer to the house.""";49;;;
Animal;Totally Bats;"Two bats are going for their midnight feed.

After an hour or so, one bat gets tired of looking and goes home with no blood.

The other bat comes home with blood dripping from its mouth.  The first bat says enviously,  ""Where did you get all that blood from?"" 

The second bat replies, ""Follow me.  I`ll show you.""

After awhile the second bat leads them to a cave.  He says, ""You see that wall over there?""

The hungry bat excitedly says, ""Yes!"" 

Other bat says, ""I didn't.""";48;;;
Animal;Ducks & Elephants;"Q: Why do ducks have webbed feet?  
A: To put out fires.    

Q: Why do elephants have flat feet?  
A: To put out burning ducks.";13;;;
Animal;Harland Williams: Sea Turtle Government Secret;The government doesn't want you to know this, but the sea turtle has been officially removed from the endangered species list. So, if you're down at the beach, and you see one of the little, loveable creatures flop up on the shore, feel free to kick the crap out of it.;27;;;
Animal;Bells on Cows;"Q: Why do farmers put bells on cows?       

A: Their horns don't work.";7;;;
Animal;Where's Ice Cube, Eve, and Cedric?;"Q: Where did the sheep  get its haircut?

A: The ba-ba shop";6;;;
Animal;Trix are for Kids;"A little rabbit is running happily through the forest when he stumbles upon a giraffe rolling a joint. 

The rabbit looks at the giraffe and says, ""Giraffe my friend, why do you do this? Come. Run with me through the forest! You''ll feel so much better!"" 

The giraffe looks at him, looks at the joint, tosses it and goes off running with the rabbit. Then they come across an elephant doing coke. 

So the rabbit again says, ""Elephant my friend, why do you do this? Think about your health. Come. Run with us through the pretty forest, you''ll see, you''ll feel so good!"" 

The elephant looks at them, looks at his razor, mirror and coke, then tosses them and starts running with the rabbit and giraffe. The three animals then come across a lion about to shoot up. 

""Lion my friend, why do you do this? Think about your health! Come. Run with us through the beautiful forest and you''ll feel so good!"" The lion looks at him, puts down his needle, and mauls the rabbit. 

The giraffe and elephant watch in horror and look at him and ask, ""Lion, why did you do this? He was merely trying to help you."" 

The lion answers, ""That little bastard! He makes me run around the forest like a f**king idiot every time he's on ecstasy!""";123;;;
Animal;Smells Like Carrots;Q: What's invisible and smells like carrots?    A: Bunny farts.;6;;;
Animal;Monkey Booty Call... Fur;I love a female who's not afraid to pick the nits out of her own fur.;7;;;
Animal;Yo' Mama Is So Stupid... Fish;Yo' Mama is so stupid, she tried to drown her pet fish.;6;;;
Animal;Snake Bite;"I hope I'm not poisonous, says the first snake.

""Why?"" asks the second snake.

""Because I just bit my lip.""";11;;;
Animal;Ellen DeGeneres: A Beautiful Animal;I ask people why they have deer heads on their walls. They say, 'Because it's such a beautiful animal.' There you go. I think my mother's attractive, but I have photographs of her.;18;;;
Animal;There were two blondes at the park...;"There were two blondes at the park. 
One says, ""Look at that dead seagull over there."" 

And the other looks up and says, ""Where?""";13;;;
Animal;Trap A Polar Bear;"Q: How do you trap a polar bear?
   
A: You cut a hole in the ice. Line it with peas. When the bear bends over to take a pee, you kick him in the icehole.";15;;;
Animal;Elephant Tampon;"Q: What does an elephant use as tampon? 

A:  A sheep.";5;;;
Animal;The Little Fire Engine;"A little boy, wearing a big red fire hat, was riding a toy fire truck down the street. The truck was being pulled by a beautiful Labrador Retriever. Unfortunately, the rope was tied around the dog's privates, and as a consequence, the truck was going very slowly. A man walking down the street noticed how slowly the boy was being pulled and gently said to him, ''You know, son, that truck would go a lot faster if the rope was tied around your dog's neck.''  

The boy nodded in agreement and said, ''But then there wouldn't be a siren.''";54;;;
Animal;Ron White: Deer Hunting;If you ever miss one, it's because the bullet's moving too fast. Slow the bullet down to 55 miles an hour, put some headlights and a little horn on it -- the deer will actually jump in front of the bullet.;20;;;
Animal;Yo' Mama Is So Stanky... Monkey Poop;Yo' Mama is so stanky, monkeys throw poop on her at the zoo.;6;;;
Animal;Arj Barker: Guess What, Cat?;I know that most domesticated animals aren't indigenous to this country. So guess what, cat? You can beat it. Go back to Catalina Island or Catalonia, Spain, or Katmandu, or wherever the hell your hairy ass is from! 'Cause this is America and around here - Katmandon't.;27;;;
Animal;Susan Norfleet: On Spuds MacKenzie;As a single person, I think I can admit, sometimes, pickings can be pretty slim. But really, how much beer would you have to drink before you date out of your own species? Call me old fashioned, but I cling to the belief that 'human' is an important dating criteria.;27;;;
Animal;Brian Kiley: Shot an Elk;I went hunting for the first time. I shot an elk. I felt really bad at first, but the guy was wearing a plaid leisure suit.;12;;;
Animal;The Rooster and the Donkey;"Q: If your donkey bites my rooster's feet off, what do we have?

A: Two feet of my cock in your ass.";10;;;
Animal;Harland Williams: Coyotes;"Some animals are smart in the way they get you. How about the coyote? Here's how the coyotes kill you: what they do is they paint a target in the middle of the highway; they fill it up with Acme birdseed. You bend down to eat -- they drop a piano on your head.";26;;;
Animal;Gary Lazer: Pet Parrot;"I got a parrot; it turned on me. You don't realize how strong those birds are, but I was walking by its cage one day -- boom! -- the next thing you know, I'm in a chair,; I'm all tied up; I have a gag in my mouth. And the parrot's sitting in front of me going, 'Now you repeat after me: Hello, hello, who's the pretty boy now, huh?'";33;;;
Animal;Wendy Liebman: Love the Zoo;monkeys, those are my favorite. They're so cute. And my least favorite, those are the, uh -- with little heads, the -- the kids.;13;;;
Animal;West Virginia Deer;"What do you call a deer with no eyes?      

No ideer (no eye deer with southern twang - in case you didn't catch that)      

What do you call a deer with no eyes and no legs?

Still no ideer.      

What do you call a deer with no eyes, legs and no balls?      

Still no fuckin' ideer!";29;;;
Animal;Dog Crossing;"Q: Why did the dog cross the road?  

A: He saw some dog food.";6;;;
Animal;Porcupine vs Ferrarri;"What's the difference between a porcupine and a Ferrarri? 
   Porcupines have pricks on the outside...";10;;;
Animal;My First Sexual Experience;"Herman and his brother, Trevor live on a farm in Texas. One day Trevor rides on his bike into town and he sees a building on fire, so he goes back home and tells his brother, “Herman, Herman there is a fire and people are getting burned!” 

His brother says “Oh, that was on the radio -- that's old news. 

So Trevor rides back into town and he sees a bank beeing robbed, so he rides back home and says “Herman, Herman there is bank being robbed and people are getting shot and killed!” 

His brother says, “Oh that was on the radio -- that's old news.” 

So Trevor rides back into town and he sees a pig stuck in a fence and starts to thinkin'... Then he rides home and says, “Herman Herman! I had my first sequal experince today!” 

His brother says, “In a pig's ass,” 

And Trevor replies, “Oh, you and your stupid radio.”";85;;;
Animal;Frog Crossing the Road;"Q: Why did the frog cross the road?    
A: It didn't -- it got run over halfway across.";9;;;
Animal;Statues Come to Life;"Two statues, male and female, faced each other in the city park for many years.

An angel appeared before the statues and said, ""Since the two of you have been exemplary statues and have brought enjoyment to many people, I am giving you the gift of life. You have 30 minutes to do whatever you desire.""

The statues came to life and smiled at each other. They ran toward some nearby woods and dove behind a couple of bushes. The angel smiled to himself as he listened to the two statues giggling, bushes rustling and twigs snapping.

After 15 minutes, the two statues emerged from the bushes, satisfied and smiling.

Puzzled, the angel looked at his watch and asked the statues, ""You still have 15 minutes. Would you like to continue?""

The male statue looked at the female and asked, ""Do you want to do it again?""

Giggling, the female statue said, ""Sure, but this time, you hold the pigeon down and I'll crap on its head!""";92;;;
Animal;Skunked Again;"Q: How do you stop a skunk from smelling?    

A: You hold his nose.";7;;;
Animal;Stoned Fish;"Q: What does a fish use to get high? 
A: Seaweed.";5;;;
Animal;Elephant & Prostitute;Q: What do you get when you cross an elephant with a prostitute?A: A two-ton pick-up.;8;;;
Animal;What do you call a monket...;"What do you call a monkey lost in a desert?
Scewed";5;;;
Animal;Yo' Mama Is So Fat... Elephants;Yo' Mama is so fat, the elephants at the zoo throw her peanuts.;6;;;
Animal;Jordan Rubin: Vegetarian;"I don't eat chicken; I'm a vegetarian. I'm not a full vegetarian, like I'll eat hamburgers and hot dogs.";10;;;
Animal;Peanut Butter Rooster;"Q: What do you get when you cross a rooster with a jar of peanut butter?
A: A cock that sticks to the roof of your mouth.";12;;;
Animal;A Gummy Problem;"Q: Why did the chewing gum cross the road? 
A: He was stuck to the chicken's foot.";8;;;
Animal;Pete Holmes: Earning affection;"When a cat meets you, he's like, ""Die."" Then you work up to that purr; that purr means something. People are like, 'My dog loves me.' I'm like, 'Yeah, but your dog would also love a bag of sticks with your t-shirt on it.'";22;;;
Animal;Beer Nuts vs. Deer Nuts;Q: What's the difference between beer nuts and deer nuts?A: Beer nuts are $1.39, and deer nuts are under a buck.;11;;;
Animal;Henriette Mantel: Horse Love;"I just wrote an article about the love I always have for my horse. It's entitled, 'I'm Stable; You Live in One.'";11;;;
Animal;Space Monkeys;"NASA decided to send a shuttle into space with two monkeys and an astronaut on board. After months of training, they placed all three in the shuttle and prepared for launch.

Mission Control Center announced, ""This is Mission Control to Monkey One. Do your stuff.""

The first monkey began frantically typing and the shuttle took off.

Two hours later, NASA's mission control center announced, ""This is Mission Control to Monkey Two. Do your stuff.""

The second monkey started typing like mad and the shuttle separated from the empty fuel tanks.

Another two hours later Mission Control Center announced, ""This is Mission Control to Astronaut... ""

At this, the astronaut shouted ""I know, I know -- feed the monkeys and don't touch anything.""";74;;;
Animal;Another Chicken, Another Road;"Q: Why did the stoner cross the road?    

A: Who else would follow a chicken?";8;;;
Animal;Faking It;"Q: What's the best time to fake an orgasm?   

A: When a Rottweiler is humping your leg.";9;;;
Animal;Turtle Soup;"A waitress walks up to a man to take his order. 

""I'd like to  get the turtle soup,   please."" The waitress walks off to go get his order, but   the man changes his mind and decides he wants the pea   soup instead. 

""Hold the turtle, make it pea!""";25;;;
Animal;Fleas;"Q: What did one flea say to the other flea?  

A: ""Shall we walk or take a dog?""";8;;;
Animal;Dave Waite: Costume Party;I got to go to a costume party next week. I'm going to dress up as a bear so I can eat beaver.;9;;;
Animal;Jeff Stilson: Product Testing on Animals;I'm opposed to product testing on animals, especially in cosmetics research. What can we possibly learn from it? So what if a dog looks good in lipstick?;15;;;
Animal;Poultry;Q: If fruit grows on a fruit tree, then what does chicken grow on? A: A poultry.;8;;;
Animal;Scott LaRose: Angry T. Rexes;The T. Rexes were all angry. You know why? Because these huge muscular creatures with these big muscular legs and these tiny little hands! How would you feel, 60 million years never being able to masturbate? That is the real reason dinosaurs are extinct right there.;27;;;
Animal;Yo' Mama Is So Stupid... Penguin;Yo' Mama is so stupid, she set a penguin free from the Bronx Zoo.;6;;;
Animal;Dogs Take Their Licks;"Q: Why do dogs lick themselves? 

A: Because they can.";5;;;
Animal;Seagull's Final Resting Place;"A four-year-old boy and his father went to the beach.  There was a dead seagull lying on the sand.  The boy asked his father, ''Dad, what happened to the birdie?'' 

His dad told him, ''Son, the bird  died and went to heaven.''  

Then the boy asked, ''Did God throw him back down?''";28;;;
Animal;Doggone It;Q: What did the dog say when it sat on sandpaper?   A: Ruff!;6;;;
Animal;Clumsy Insects;Q: What is the clumsiest insect?  A: The bumbling bee.;5;;;
Animal;Catching a Squirrel;"Q: How do you catch a squirrel?
  
A: Climb up a tree and act like a nut.";7;;;
Animal;Monkey Booty Call... Spank;How about we spank each other and call ourselves even?;5;;;
Animal;Rooster Crossing;"Why did the rooster cross the road? 

Because the chicken was on vacation!";7;;;
Animal;Walks Into a Bar... Taxidermy;"A Yankee walks into a bar in Alabama and orders a cosmopolitan. The bartender looks at the man and says, ""You're not from 'round here are ya?""

""No"" replies the man, ""I'm from New Hampshire."" The bartender looks at him and says, ""Well what do you do in New Hampshire?""

""I'm a taxidermist,"" says the man. The bartender looks bewildered, so the man explains, ""I mount dead animals.""

The bartender stands back and hollers to the whole bar, ""It's OK, boys! He's one of us!""";47;;;
Animal;Bear & Deer;Q: What do you get when you cross a bear with a deer?  A: Beer.;6;;;
Animal;The Greatest Cow;"Harry and his wife are driving in the country when he sees a sign that
reads: ""Cow For Sale -- $5,000.""

He pulls in and says to the farmer, ""There's no cow in the world worth
$5,000.""

The farmer says, ""Oh, yeah? Take a look at this."" He lifts the cow's tail and Harry sees that the cow has a snatch
just like a woman.

Harry gets back in the car, turns to his wife and says, ""It's just
not fair. Here's this farmer with a cow that has a snatch like a woman
and it's worth $5,000, and here I am, with you, with a snatch like a
cow, and you're not worth sh*t.""";56;;;
Animal;The Frog Won't Be Your Beast of Burden;"A frog goes into a bank, and hops up on the desk of the loan officer.  ''Hi,'' he croaks.''What's your name?''  

The loan officer says, ''My name is John Paddywack. May I help you?'' 

''Yeah,'' says the frog.  ''I'd like to borrow some money.'' 

The loan officer finds this a little odd, but gets out a form.  ''Okay,what's your name?'' 

The frog replies, ''Kermit Jagger.''  

''Really?'' says the loan officer.  ''Any relation to Mick Jagger?'' 

''Yeah, he's my dad.'' 

''Hmmm,'' says the loan officer.  ''Do you have any collateral?'' 

The frog hands over a pink ceramic elephant and asks, ''Will this do?'' 

The loan officer says, ''Um, I'm not sure.  Let me go check with the bank  manager.''    

''Oh, tell him I said hi,'' adds the frog.  ''He knows me.'' 

The loan officer goes back to the manager and says, ''Excuse me, sir, but  there's a frog out there named Kermit Jagger who wants to borrow some  money. All he has for collateral is this pink elephant thing; I'm not even sure  what it is.''  

The manager says: ''It's a knick-knack, Paddywack, give the frog a loan; his  old man's a Rolling Stone.''";112;;;
Animal;The Magician and the Parrot;"A magician on a cruise ship was performing one night when a parrot walked onstage and squawked, ""It's in his sleeve!""

The magician chased the bird away.

The next night, the magician was performing another trick when the parrot walked onstage and declared, ""It's in his pocket!""

During his next performance, he saw the parrot in the crowd, but before the parrot could ruin the magic trick, the boat crashed into a rock and sank.

The magician grabbed onto a floating board. The parrot was perched on the other end.

""I give up,"" the parrot said. ""What did you do with the ship?""";58;;;
Animal;Elephants, Beavers & the Jungle;Q: Why is it dangerous to go in the jungle after 5 p.m?  A: Because elephants jump out of trees after 5 p.m.  Q: Why do beavers have flat tails?  A: Because they go in the jungle after 5 p.m;19;;;
Animal;Hillbilly Chicks and Bears;"Q: What do hillbilly chicks and polar bears have in common?

A: They both lick their paws.";9;;;
Animal;Birdman;"Little girl: ""Why does your son  say, 'Cluck, cluck, cluck?'""

Mother: ""Because he thinks he's a chicken.""

Little girl: ""Why don't you tell him he's not a chicken?"" 

Mother: ""We need the eggs.""";20;;;
Animal;Who Was the Most Drunk?;"Three guys compare their levels of intoxication from a party the previous night.

The first guy says, ""Man, I was so drunk last night, I went home and blew chunks.""

The second guy says, ""I was so drunk last night, I woke up this morning on my front porch.""

The third guy says, ""I was so drunk last night, I took a prostitute home to my wife.""

The first guy exclaims, ""You guys don't understand! Chunks is my dog!""";42;;;
Animal;Yo' Mama Is So Fat... Whale Sighting;Yo' Mama is so fat, when she went whale-sighting, the other tourists took her picture.;9;;;
Animal;Spider Diet;"What do spiders like to order at a fast food restaurant?      

Burgers and flies.";8;;;
Animal;Lab Monkeys;"What do you call a trash bag full of mutilated laboratory monkeys?    

Rhesus Pieces.";9;;;
Animal;Jumping Rope;"Two teenagers walk through a park and see two rabbits getting it on, fast and furious.

""What are they doing?"" asks the girl.

""They're jumping rope,"" says the boy. ""Maybe I'll teach you how someday."" 

""I want you to teach me now,"" says the girl. So the two go behind some bushes and start getting it on. When the boy has his pants down, the girl asks, ""What's behind your 'rope?'""

""That's my knot,"" says the boy.

""Well,"" says the girl, ""untie the knot and give me some more rope.""";48;;;
Animal;Light It Up;Q: Why do fireflies light up while they are having sex?  A: They're so turned on.;8;;;
Animal;Greg Proops: Animal Functions;Animals have two vital functions in today's society: to be delicious and to fit well.;8;;;
Animal;Big Noses;"Q: Why do gorillas have big noses? 

A: Because they have big fingers.";7;;;
Animal;Legless Poodle;"What do you call a poodle with no legs?  

A sponge.";5;;;
Animal;Two brunettes and a blonde...;"Two brunettes and a blonde are attempting to fix a roof. While they are on the roof, a herd of cattle run by and knock down the ladder and leave a big pile of poop behind.

The two brunettes decide to make the blonde check how deep the poop is so they can jump down. So the blonde jumps down and yells, ""It's only ankle deep."" 

So the two brunettes jump down and scream, ""What are you talking about?! It's up to our heads!"" 

And the blonde replies, ""Well, I jumped in head first.""";48;;;
Animal;Robert Schimmel: Shamu Plane;I flew out here on Southwest Airlines. Southwest has a plane that's painted like Shamu the whale from Sea World. Yeah, that'll be easy to find if that went down in the ocean. That'll be nice, when you're trying to get out and a real whale's humping your window.;26;;;
Animal;How Do You Catch?;"How do you catch a unique animal?      

You 'neak up on it.";6;;;
Animal;Yo' Mama Is So Ugly... Roadkill;Yo' Mama is so ugly, when she looks at roadkill, it runs away.;6;;;
Animal;Jon Lajoie: Bought a Car;I bought a car last week. Well, by 'bought' I mean 'poisoned' and by 'car' I mean 'my neighbor's dog.';10;;;
Animal;Blind Dinosaur;"Q: What do you call a blind dinosaur?
A: Do-you-think-he-saur-us.";6;;;
Animal;Dog With No Legs;Q: What do you call a dog with no legs?A: It doesn't matter -- he's not going to come anyway.;9;;;
Animal;Demetri Martin: Some Women Are Liars;I love women, but you can't always trust them. Some of them are liars, like this girl I met in the park. She was walking her dog and she was cute, so I started to talk to her. She told me her dog's name. I said, 'Does he bite?' She said, 'No.' I said, 'Oh yeah, then how does he eat?';28;;;
Animal;When Beasts Speak!;"What did the cat say to the mouse?

""The human telling this joke is attempting to anthropomorphise us!""";10;;;
